,data,godzina,dom,wyjazd,wynik
5210,2009-10-24,13:45,GKS Bełchatów,Polonia Warszawa,3:0
5211,2009-10-24,15:15,Legia Warszawa,Korona Kielce,5:2
5212,2009-10-24,16:00,Wisła Kraków,Piast Gliwice,2:1
5213,2009-10-24,18:15,Śląsk Wrocław,Zagłębie Lubin,2:0
5214,2009-10-25,13:45,Odra Wodzisław,KS Cracovia,1:0
5215,2009-10-25,16:15,Lechia Gdańsk,Lech Poznań,0:0
5216,2009-10-29,19:00,Zagłębie Lubin,Polonia Bytom,2:0
5217,2009-10-30,16:45,KS Cracovia,GKS Bełchatów,0:1
5218,2009-10-30,19:00,Korona Kielce,Wisła Kraków,2:3
5219,2009-10-30,19:00,Piast Gliwice,Lechia Gdańsk,0:2
5220,2009-10-31,12:45,Arka Gdynia,Odra Wodzisław,2:0
5221,2009-10-31,15:00,Lech Poznań,Śląsk Wrocław,1:0
5222,2009-10-31,17:30,Legia Warszawa,Ruch Chorzów,2:0
5223,2009-10-31,17:30,Jagiellonia Białystok,Polonia Warszawa,1:0
5224,2009-11-06,16:45,Odra Wodzisław,Zagłębie Lubin,1:2
5225,2009-11-06,19:00,Lechia Gdańsk,Korona Kielce,1:1
5226,2009-11-06,19:00,Wisła Kraków,Legia Warszawa,0:1
5227,2009-11-07,13:45,Śląsk Wrocław,Piast Gliwice,2:1
5228,2009-11-07,16:00,GKS Bełchatów,Arka Gdynia,1:0
5229,2009-11-07,17:15,Polonia Bytom,Lech Poznań,1:1
5230,2009-11-07,18:15,Polonia Warszawa,KS Cracovia,0:1
5231,2009-11-08,13:45,Ruch Chorzów,Jagiellonia Białystok,5:2
5232,2009-11-20,16:45,Korona Kielce,Zagłębie Lubin,3:3
5233,2009-11-20,19:00,Polonia Bytom,Jagiellonia Białystok,1:1
5234,2009-11-20,19:00,Legia Warszawa,Polonia Warszawa,1:1
5235,2009-11-21,13:45,Piast Gliwice,Arka Gdynia,2:2
5236,2009-11-21,16:00,Lech Poznań,Ruch Chorzów,3:1
5237,2009-11-21,16:00,Lechia Gdańsk,GKS Bełchatów,0:2
5238,2009-11-21,18:15,Śląsk Wrocław,Odra Wodzisław,4:0
5239,2009-11-22,16:00,Wisła Kraków,KS Cracovia,0:1
5240,2009-11-27,19:00,Polonia Warszawa,Polonia Bytom,1:0
5241,2009-11-27,19:00,Zagłębie Lubin,Lech Poznań,0:1
5242,2009-11-28,13:45,KS Cracovia,Piast Gliwice,3:2
5243,2009-11-28,15:15,GKS Bełchatów,Legia Warszawa,0:1
5244,2009-11-28,16:00,Jagiellonia Białystok,Lechia Gdańsk,0:0
5245,2009-11-28,18:15,Ruch Chorzów,Korona Kielce,0:0
5246,2009-11-29,13:45,Odra Wodzisław,Wisła Kraków,1:3
5247,2009-11-29,16:15,Arka Gdynia,Śląsk Wrocław,1:1
5248,2009-11-25,17:30,Arka Gdynia,Lechia Gdańsk,1:2
5249,2009-12-04,19:00,Zagłębie Lubin,Legia Warszawa,0:0
5250,2009-12-05,13:45,KS Cracovia,Śląsk Wrocław,1:0
5251,2009-12-05,15:15,GKS Bełchatów,Polonia Bytom,2:2
5252,2009-12-05,16:00,Odra Wodzisław,Jagiellonia Białystok,2:2
5253,2009-12-05,18:15,Lech Poznań,Piast Gliwice,1:1
5254,2009-12-06,13:45,Ruch Chorzów,Wisła Kraków,1:3
5255,2009-12-06,13:45,Polonia Warszawa,Korona Kielce,1:1
5256,2009-12-11,16:45,Piast Gliwice,Ruch Chorzów,1:2
5257,2009-12-11,19:00,Wisła Kraków,Zagłębie Lubin,1:0
5258,2009-12-12,13:45,Lechia Gdańsk,KS Cracovia,1:0
5259,2009-12-12,15:15,Lech Poznań,Korona Kielce,2:0
5260,2009-12-12,16:00,Polonia Bytom,Odra Wodzisław,1:1
5261,2009-12-12,18:15,Śląsk Wrocław,Polonia Warszawa,1:0
5262,2009-12-13,13:45,Legia Warszawa,Arka Gdynia,1:0
5263,2009-12-13,13:45,Jagiellonia Białystok,GKS Bełchatów,2:1
5264,2010-02-26,16:45,Odra Wodzisław,Lechia Gdańsk,0:0
5265,2010-02-26,19:00,KS Cracovia,Legia Warszawa,1:2
5266,2010-02-27,13:45,Korona Kielce,Jagiellonia Białystok,1:0
5267,2010-02-27,15:15,GKS Bełchatów,Wisła Kraków,1:0
5268,2010-02-27,16:00,Polonia Bytom,Śląsk Wrocław,0:0
5269,2010-02-27,18:15,Arka Gdynia,Ruch Chorzów,0:3
5270,2010-02-28,13:45,Zagłębie Lubin,Piast Gliwice,1:1
5271,2010-02-28,16:00,Polonia Warszawa,Lech Poznań,0:3
5272,2010-03-05,16:45,Korona Kielce,Polonia Bytom,1:0
5273,2010-03-05,19:00,Wisła Kraków,Arka Gdynia,0:1
5274,2010-03-06,13:45,Śląsk Wrocław,Jagiellonia Białystok,1:2
5275,2010-03-06,15:15,Lech Poznań,KS Cracovia,3:1
5276,2010-03-06,16:00,Lechia Gdańsk,Polonia Warszawa,1:1
5277,2010-03-06,18:15,Ruch Chorzów,Zagłębie Lubin,0:2
5278,2010-03-07,13:15,Legia Warszawa,Odra Wodzisław,0:1
5279,2010-03-07,13:45,Piast Gliwice,GKS Bełchatów,1:2
5280,2010-03-12,16:45,Odra Wodzisław,Piast Gliwice,2:0
5281,2010-03-12,19:00,Jagiellonia Białystok,Wisła Kraków,0:0
5282,2010-03-13,13:45,KS Cracovia,Korona Kielce,3:0
5283,2010-03-13,16:00,Polonia Warszawa,Ruch Chorzów,1:1
5284,2010-03-13,17:15,Polonia Bytom,Legia Warszawa,1:0
5285,2010-03-13,18:15,Śląsk Wrocław,Lechia Gdańsk,1:2
5286,2010-03-14,13:45,Arka Gdynia,Zagłębie Lubin,0:2
5287,2010-03-14,16:00,GKS Bełchatów,Lech Poznań,1:1
5288,2010-03-19,16:45,Arka Gdynia,KS Cracovia,2:0
5289,2010-03-19,19:00,Ruch Chorzów,GKS Bełchatów,1:0
5290,2010-03-20,13:45,Legia Warszawa,Śląsk Wrocław,1:1
5291,2010-03-20,15:00,Wisła Kraków,Lechia Gdańsk,3:0
5292,2010-03-20,16:00,Korona Kielce,Odra Wodzisław,1:1
5293,2010-03-20,18:15,Zagłębie Lubin,Polonia Warszawa,2:0
5294,2010-03-21,13:45,Piast Gliwice,Polonia Bytom,1:0
5295,2010-03-21,16:00,Lech Poznań,Jagiellonia Białystok,2:0
5296,2010-03-26,16:45,GKS Bełchatów,Zagłębie Lubin,1:3
5297,2010-03-26,19:00,Lechia Gdańsk,Legia Warszawa,2:3
5298,2010-03-27,13:45,Polonia Warszawa,Arka Gdynia,2:1
5299,2010-03-27,16:00,KS Cracovia,Ruch Chorzów,1:4
5300,2010-03-27,17:15,Polonia Bytom,Wisła Kraków,1:3
5301,2010-03-27,18:15,Śląsk Wrocław,Korona Kielce,1:1
5302,2010-03-28,13:45,Jagiellonia Białystok,Piast Gliwice,2:0
5303,2010-03-28,16:00,Odra Wodzisław,Lech Poznań,0:0
5304,2010-03-31,17:15,Arka Gdynia,Polonia Bytom,2:2
5305,2010-04-01,16:45,KS Cracovia,Jagiellonia Białystok,0:1
5306,2010-04-01,19:00,GKS Bełchatów,Odra Wodzisław,3:0
5307,2010-04-03,13:45,Piast Gliwice,Korona Kielce,1:0
5308,2010-04-03,15:15,Polonia Warszawa,Wisła Kraków,0:1
5309,2010-04-03,16:00,Zagłębie Lubin,Lechia Gdańsk,2:2
5310,2010-04-03,18:00,Lech Poznań,Legia Warszawa,1:0
5311,2010-04-03,18:15,Ruch Chorzów,Śląsk Wrocław,0:0
5312,2010-04-09,16:45,Zagłębie Lubin,KS Cracovia,0:0
5313,2010-04-09,19:00,Lech Poznań,Arka Gdynia,2:0
5314,2010-04-19,16:45,Piast Gliwice,Polonia Warszawa,0:2
5315,2010-04-19,19:00,Legia Warszawa,Jagiellonia Białystok,2:1
5316,2010-04-20,15:30,Lechia Gdańsk,Polonia Bytom,0:0
5317,2010-04-20,17:45,Ruch Chorzów,Odra Wodzisław,3:2
5318,2010-04-20,17:45,Wisła Kraków,Śląsk Wrocław,1:0
5319,2010-04-20,20:00,Korona Kielce,GKS Bełchatów,1:1
5320,2010-04-23,16:45,Arka Gdynia,Korona Kielce,1:2
5321,2010-04-23,19:00,Legia Warszawa,Piast Gliwice,3:0
5322,2010-04-24,11:30,Polonia Bytom,KS Cracovia,1:2
5323,2010-04-24,13:45,Jagiellonia Białystok,Zagłębie Lubin,0:0
5324,2010-04-24,15:00,Wisła Kraków,Lech Poznań,0:0
5325,2010-04-24,16:00,Śląsk Wrocław,GKS Bełchatów,0:0
5326,2010-04-24,18:15,Odra Wodzisław,Polonia Warszawa,2:1
5327,2010-04-25,16:00,Lechia Gdańsk,Ruch Chorzów,1:1
5328,2010-04-26,19:00,Korona Kielce,Legia Warszawa,0:1
5329,2010-04-27,15:00,KS Cracovia,Odra Wodzisław,1:0
5330,2010-04-27,17:15,Polonia Warszawa,GKS Bełchatów,0:0
5331,2010-04-27,17:45,Piast Gliwice,Wisła Kraków,1:4
5332,2010-04-27,19:45,Zagłębie Lubin,Śląsk Wrocław,1:1
5333,2010-04-28,15:30,Ruch Chorzów,Polonia Bytom,2:1
5334,2010-04-28,17:45,Lech Poznań,Lechia Gdańsk,2:1
5335,2010-04-28,17:45,Jagiellonia Białystok,Arka Gdynia,2:1
5336,2010-04-30,16:45,GKS Bełchatów,KS Cracovia,3:0
5337,2010-04-30,19:00,Wisła Kraków,Korona Kielce,0:1
5338,2010-05-01,13:45,Lechia Gdańsk,Piast Gliwice,0:1
5339,2010-05-01,16:00,Odra Wodzisław,Arka Gdynia,2:1
5340,2010-05-01,17:15,Ruch Chorzów,Legia Warszawa,1:0
5341,2010-05-01,18:15,Polonia Warszawa,Jagiellonia Białystok,2:0
5342,2010-05-02,13:45,Polonia Bytom,Zagłębie Lubin,2:1
5343,2010-05-02,16:00,Śląsk Wrocław,Lech Poznań,0:3
5344,2010-05-06,17:30,Arka Gdynia,GKS Bełchatów,2:1
5345,2010-05-07,16:45,KS Cracovia,Polonia Warszawa,1:2
5346,2010-05-07,19:00,Jagiellonia Białystok,Ruch Chorzów,1:0
5347,2010-05-08,13:45,Piast Gliwice,Śląsk Wrocław,2:2
5348,2010-05-08,15:00,Legia Warszawa,Wisła Kraków,0:3
5349,2010-05-08,16:00,Zagłębie Lubin,Odra Wodzisław,2:1
5350,2010-05-08,17:30,Lech Poznań,Polonia Bytom,3:0
5351,2010-05-08,18:15,Korona Kielce,Lechia Gdańsk,1:0
5352,2010-05-11,18:00,Polonia Warszawa,Legia Warszawa,1:0
5353,2010-05-11,18:00,Odra Wodzisław,Śląsk Wrocław,2:4
5354,2010-05-11,18:00,GKS Bełchatów,Lechia Gdańsk,2:1
5355,2010-05-11,18:00,Zagłębie Lubin,Korona Kielce,2:2
5356,2010-05-11,18:00,Ruch Chorzów,Lech Poznań,1:2
5357,2010-05-11,18:00,Arka Gdynia,Piast Gliwice,2:1
5358,2010-05-11,18:00,Jagiellonia Białystok,Polonia Bytom,0:0
5359,2010-05-11,18:00,KS Cracovia,Wisła Kraków,1:1
5360,2010-05-15,16:00,Polonia Bytom,Polonia Warszawa,1:0
5361,2010-05-15,16:00,Wisła Kraków,Odra Wodzisław,1:1
5362,2010-05-15,16:00,Lech Poznań,Zagłębie Lubin,2:0
5363,2010-05-15,16:00,Lechia Gdańsk,Jagiellonia Białystok,2:0
5364,2010-05-15,16:00,Legia Warszawa,GKS Bełchatów,2:2
5365,2010-05-15,16:00,Śląsk Wrocław,Arka Gdynia,2:1
5366,2010-05-15,16:00,Piast Gliwice,KS Cracovia,0:1
5367,2010-05-15,16:00,Korona Kielce,Ruch Chorzów,3:0
5368,2010-08-06,17:00,GKS Bełchatów,Polonia Bytom,2:0
5369,2010-08-06,19:00,Górnik Zabrze,Polonia Warszawa,0:2
5370,2010-08-07,14:45,Widzew Łódź,Lech Poznań,1:1
5371,2010-08-07,18:15,Korona Kielce,Zagłębie Lubin,1:1
5372,2010-08-08,13:45,Lechia Gdańsk,Ruch Chorzów,0:0
5373,2010-08-08,16:00,Śląsk Wrocław,Jagiellonia Białystok,0:0
5374,2010-08-08,18:15,Wisła Kraków,Arka Gdynia,1:0
5375,2010-08-16,17:45,Legia Warszawa,KS Cracovia,2:1
5376,2010-08-13,16:45,KS Cracovia,Śląsk Wrocław,2:3
5377,2010-08-13,19:00,Polonia Warszawa,Legia Warszawa,3:0
5378,2010-08-14,13:45,Jagiellonia Białystok,GKS Bełchatów,3:1
5379,2010-08-14,16:00,Polonia Bytom,Lechia Gdańsk,1:1
5380,2010-08-14,17:15,Lech Poznań,Arka Gdynia,0:0
5381,2010-08-14,18:15,Zagłębie Lubin,Górnik Zabrze,1:2
5382,2010-08-15,18:15,Korona Kielce,Widzew Łódź,1:2
5383,2010-08-15,18:15,Ruch Chorzów,Wisła Kraków,2:0
5384,2010-08-20,16:45,Polonia Warszawa,Zagłębie Lubin,2:1
5385,2010-08-20,19:00,Śląsk Wrocław,Legia Warszawa,0:1
5386,2010-08-21,13:45,GKS Bełchatów,Ruch Chorzów,3:2
5387,2010-08-21,15:00,Widzew Łódź,Wisła Kraków,0:1
5388,2010-08-21,16:00,Polonia Bytom,Korona Kielce,0:1
5389,2010-08-21,18:15,Arka Gdynia,Górnik Zabrze,2:0
5390,2010-08-22,16:00,Lech Poznań,KS Cracovia,5:0
5391,2010-08-22,16:15,Lechia Gdańsk,Jagiellonia Białystok,1:2
5392,2010-08-27,16:45,Korona Kielce,KS Cracovia,1:0
5393,2010-08-27,19:00,Legia Warszawa,GKS Bełchatów,0:2
5394,2010-08-28,13:45,Wisła Kraków,Polonia Bytom,2:1
5395,2010-08-28,16:00,Lechia Gdańsk,Śląsk Wrocław,2:0
5396,2010-08-28,17:15,Widzew Łódź,Polonia Warszawa,0:0
5397,2010-08-28,18:15,Zagłębie Lubin,Arka Gdynia,1:0
5398,2010-08-29,16:00,Jagiellonia Białystok,Lech Poznań,2:0
5399,2010-08-29,16:15,Górnik Zabrze,Ruch Chorzów,1:0
5400,2010-09-10,16:45,Polonia Bytom,Zagłębie Lubin,2:0
5401,2010-09-10,19:00,Jagiellonia Białystok,Wisła Kraków,2:1
5402,2010-09-11,13:45,KS Cracovia,Górnik Zabrze,2:3
5403,2010-09-11,16:00,GKS Bełchatów,Lechia Gdańsk,1:0
5404,2010-09-11,17:15,Śląsk Wrocław,Lech Poznań,1:2
5405,2010-09-11,18:15,Arka Gdynia,Widzew Łódź,1:1
5406,2010-09-12,16:00,Ruch Chorzów,Legia Warszawa,1:0
5407,2010-09-12,16:15,Polonia Warszawa,Korona Kielce,1:3
5408,2010-09-17,19:00,Lechia Gdańsk,KS Cracovia,1:0
5409,2010-09-17,19:00,Wisła Kraków,Korona Kielce,2:2
5410,2010-09-18,13:45,Górnik Zabrze,GKS Bełchatów,1:0
5411,2010-09-18,16:00,Widzew Łódź,Śląsk Wrocław,5:2
5412,2010-09-18,17:15,Zagłębie Lubin,Legia Warszawa,2:1
5413,2010-09-18,18:15,Polonia Bytom,Ruch Chorzów,1:0
5414,2010-09-19,16:00,Arka Gdynia,Jagiellonia Białystok,1:0
5415,2010-11-10,17:45,Lech Poznań,Polonia Warszawa,2:2
5416,2010-09-24,16:45,Korona Kielce,Śląsk Wrocław,2:1
5417,2010-09-24,19:00,Legia Warszawa,Lech Poznań,2:1
5418,2010-09-25,13:45,Lechia Gdańsk,Górnik Zabrze,5:1
5419,2010-09-25,16:00,Polonia Warszawa,Polonia Bytom,2:2
5420,2010-09-25,17:15,KS Cracovia,Arka Gdynia,2:0
5421,2010-09-25,18:15,Ruch Chorzów,Widzew Łódź,1:1
5422,2010-09-26,16:00,GKS Bełchatów,Wisła Kraków,1:1
5423,2010-09-26,16:15,Jagiellonia Białystok,Zagłębie Lubin,2:0
5424,2010-10-01,16:45,Polonia Bytom,Widzew Łódź,2:2
5425,2010-10-01,19:00,Wisła Kraków,Śląsk Wrocław,0:0
5426,2010-10-02,13:45,Arka Gdynia,Polonia Warszawa,0:0
5427,2010-10-02,16:00,Zagłębie Lubin,KS Cracovia,0:0
5428,2010-10-02,17:15,Górnik Zabrze,Jagiellonia Białystok,0:1
5429,2010-10-02,18:15,Legia Warszawa,Lechia Gdańsk,0:3
5430,2010-10-03,13:45,GKS Bełchatów,Lech Poznań,1:0
5431,2010-10-03,16:15,Ruch Chorzów,Korona Kielce,0:1
5432,2010-10-15,19:00,Widzew Łódź,Legia Warszawa,0:1
5433,2010-10-16,13:45,Śląsk Wrocław,Polonia Warszawa,2:2
5434,2010-10-16,16:00,Jagiellonia Białystok,Polonia Bytom,3:0
5435,2010-10-16,17:15,Lech Poznań,Zagłębie Lubin,0:1
5436,2010-10-16,18:15,Korona Kielce,GKS Bełchatów,3:1
5437,2010-10-17,14:00,KS Cracovia,Ruch Chorzów,2:3
5438,2010-10-17,16:00,Górnik Zabrze,Wisła Kraków,1:0
5439,2010-10-17,16:15,Lechia Gdańsk,Arka Gdynia,1:0
5440,2010-10-22,16:45,Polonia Bytom,Śląsk Wrocław,0:0
5441,2010-10-22,19:00,Korona Kielce,Legia Warszawa,1:4
5442,2010-10-23,13:45,Polonia Warszawa,KS Cracovia,3:0
5443,2010-10-23,16:00,Arka Gdynia,GKS Bełchatów,1:0
5444,2010-10-23,17:15,Wisła Kraków,Lechia Gdańsk,5:2
5445,2010-10-23,18:15,Widzew Łódź,Jagiellonia Białystok,4:1
5446,2010-10-24,13:45,Górnik Zabrze,Lech Poznań,2:0
5447,2010-10-24,16:00,Zagłębie Lubin,Ruch Chorzów,0:0
5448,2010-10-29,16:45,GKS Bełchatów,Widzew Łódź,1:0
5449,2010-10-29,19:00,Jagiellonia Białystok,Polonia Warszawa,1:0
5450,2010-10-30,13:45,Ruch Chorzów,Arka Gdynia,0:0
5451,2010-10-30,15:15,Lechia Gdańsk,Korona Kielce,0:1
5452,2010-10-30,16:00,KS Cracovia,Polonia Bytom,0:1
5453,2010-10-30,18:15,Śląsk Wrocław,Zagłębie Lubin,3:1
5454,2010-10-31,16:00,Lech Poznań,Wisła Kraków,4:1
5455,2010-10-31,16:15,Legia Warszawa,Górnik Zabrze,2:1
5456,2010-11-05,19:00,KS Cracovia,Wisła Kraków,0:1
5457,2010-11-05,19:00,Zagłębie Lubin,Widzew Łódź,1:0
5458,2010-11-06,13:45,Górnik Zabrze,Polonia Bytom,1:1
5459,2010-11-06,14:45,Legia Warszawa,Jagiellonia Białystok,2:0
5460,2010-11-06,16:00,GKS Bełchatów,Śląsk Wrocław,0:1
5461,2010-11-06,18:15,Arka Gdynia,Korona Kielce,2:1
5462,2010-11-07,13:45,Polonia Warszawa,Lechia Gdańsk,1:2
5463,2010-11-07,16:15,Ruch Chorzów,Lech Poznań,1:0
5464,2010-11-12,19:00,Widzew Łódź,KS Cracovia,2:2
5465,2010-11-12,19:00,Wisła Kraków,Legia Warszawa,4:0
5466,2010-11-13,13:30,Polonia Bytom,Arka Gdynia,2:0
5467,2010-11-13,15:45,Śląsk Wrocław,Górnik Zabrze,4:0
5468,2010-11-13,17:15,Lech Poznań,Lechia Gdańsk,2:0
5469,2010-11-13,18:00,Polonia Warszawa,Ruch Chorzów,3:1
5470,2010-11-14,14:00,Zagłębie Lubin,GKS Bełchatów,1:1
5471,2010-11-14,16:15,Korona Kielce,Jagiellonia Białystok,1:1
5472,2010-11-19,19:00,Górnik Zabrze,Korona Kielce,2:1
5473,2010-11-19,19:00,Legia Warszawa,Arka Gdynia,3:0
5474,2010-11-20,13:45,Śląsk Wrocław,Ruch Chorzów,2:1
5475,2010-11-20,15:00,Lechia Gdańsk,Widzew Łódź,3:1
5476,2010-11-20,16:00,Lech Poznań,Polonia Bytom,1:0
5477,2010-11-20,18:15,Jagiellonia Białystok,KS Cracovia,4:2
5478,2010-11-21,13:45,Wisła Kraków,Zagłębie Lubin,1:0
5479,2010-11-21,16:15,GKS Bełchatów,Polonia Warszawa,3:2
5480,2010-11-26,16:45,KS Cracovia,GKS Bełchatów,3:2
5481,2010-11-26,19:00,Polonia Bytom,Legia Warszawa,0:1
5482,2010-11-27,13:45,Arka Gdynia,Śląsk Wrocław,2:2
5483,2010-11-27,16:00,Zagłębie Lubin,Lechia Gdańsk,3:1
5484,2010-11-27,17:15,Korona Kielce,Lech Poznań,0:0
5485,2010-11-27,18:15,Widzew Łódź,Górnik Zabrze,4:0
5486,2010-11-28,13:45,Polonia Warszawa,Wisła Kraków,0:1
5487,2010-11-28,16:00,Ruch Chorzów,Jagiellonia Białystok,0:0
5488,2011-02-25,19:00,Arka Gdynia,Wisła Kraków,0:1
5489,2011-02-25,19:00,KS Cracovia,Legia Warszawa,3:3
5490,2011-02-26,13:45,Polonia Bytom,GKS Bełchatów,1:1
5491,2011-02-26,16:00,Ruch Chorzów,Lechia Gdańsk,0:0
5492,2011-02-26,18:15,Zagłębie Lubin,Korona Kielce,1:1
5493,2011-02-27,14:00,Polonia Warszawa,Górnik Zabrze,0:0
5494,2011-02-27,16:00,Lech Poznań,Widzew Łódź,1:0
5495,2011-03-08,17:15,Jagiellonia Białystok,Śląsk Wrocław,1:1
5496,2011-03-04,16:45,Śląsk Wrocław,KS Cracovia,0:0
5497,2011-03-04,19:00,Wisła Kraków,Ruch Chorzów,3:1
5498,2011-03-05,13:45,Górnik Zabrze,Zagłębie Lubin,5:1
5499,2011-03-05,16:00,Widzew Łódź,Korona Kielce,3:1
5500,2011-03-05,17:15,GKS Bełchatów,Jagiellonia Białystok,0:0
5501,2011-03-05,18:15,Arka Gdynia,Lech Poznań,0:3
5502,2011-03-06,16:00,Lechia Gdańsk,Polonia Bytom,2:0
5503,2011-03-06,16:00,Legia Warszawa,Polonia Warszawa,1:0
5504,2011-03-11,19:00,Górnik Zabrze,Arka Gdynia,2:2
5505,2011-03-11,19:00,Legia Warszawa,Śląsk Wrocław,1:2
5506,2011-03-12,13:45,Korona Kielce,Polonia Bytom,3:3
5507,2011-03-12,16:00,Ruch Chorzów,GKS Bełchatów,2:1
5508,2011-03-12,17:15,Wisła Kraków,Widzew Łódź,2:0
5509,2011-03-12,18:15,Jagiellonia Białystok,Lechia Gdańsk,1:2
5510,2011-03-13,14:15,Zagłębie Lubin,Polonia Warszawa,1:0
5511,2011-03-13,16:15,KS Cracovia,Lech Poznań,1:0
5512,2011-03-18,16:45,Arka Gdynia,Zagłębie Lubin,1:1
5513,2011-03-18,19:00,Ruch Chorzów,Górnik Zabrze,3:0
5514,2011-03-19,13:45,Polonia Warszawa,Widzew Łódź,0:1
5515,2011-03-19,16:00,Śląsk Wrocław,Lechia Gdańsk,2:1
5516,2011-03-19,17:15,Lech Poznań,Jagiellonia Białystok,2:0
5517,2011-03-19,18:15,KS Cracovia,Korona Kielce,3:0
5518,2011-03-20,13:45,GKS Bełchatów,Legia Warszawa,2:0
5519,2011-03-20,16:15,Polonia Bytom,Wisła Kraków,2:2
5520,2011-04-01,16:45,Lechia Gdańsk,GKS Bełchatów,0:0
5521,2011-04-01,19:00,Lech Poznań,Śląsk Wrocław,2:2
5522,2011-04-02,13:45,Zagłębie Lubin,Polonia Bytom,2:0
5523,2011-04-02,15:15,Legia Warszawa,Ruch Chorzów,2:3
5524,2011-04-02,16:00,Widzew Łódź,Arka Gdynia,0:0
5525,2011-04-02,18:15,Korona Kielce,Polonia Warszawa,1:3
5526,2011-04-03,13:45,Wisła Kraków,Jagiellonia Białystok,2:0
5527,2011-04-03,16:15,Górnik Zabrze,KS Cracovia,1:0
5528,2011-04-08,16:45,GKS Bełchatów,Górnik Zabrze,1:1
5529,2011-04-08,19:00,Polonia Warszawa,Lech Poznań,1:0
5530,2011-04-09,13:45,Ruch Chorzów,Polonia Bytom,0:2
5531,2011-04-09,16:00,KS Cracovia,Lechia Gdańsk,3:0
5532,2011-04-09,17:15,Legia Warszawa,Zagłębie Lubin,2:2
5533,2011-04-09,18:15,Śląsk Wrocław,Widzew Łódź,2:2
5534,2011-04-10,15:45,Korona Kielce,Wisła Kraków,2:2
5535,2011-04-10,16:15,Jagiellonia Białystok,Arka Gdynia,1:0
5536,2011-04-15,19:00,Górnik Zabrze,Lechia Gdańsk,0:0
5537,2011-04-15,19:00,Wisła Kraków,GKS Bełchatów,3:1
5538,2011-04-16,13:45,Polonia Bytom,Polonia Warszawa,0:2
5539,2011-04-16,14:45,Lech Poznań,Legia Warszawa,1:0
5540,2011-04-16,16:00,Widzew Łódź,Ruch Chorzów,0:0
5541,2011-04-16,18:15,Zagłębie Lubin,Jagiellonia Białystok,0:2
5542,2011-04-17,13:45,Arka Gdynia,KS Cracovia,3:0
5543,2011-04-17,16:15,Śląsk Wrocław,Korona Kielce,0:1
5544,2011-04-20,19:00,Jagiellonia Białystok,Górnik Zabrze,2:0
5545,2011-04-21,16:45,KS Cracovia,Zagłębie Lubin,2:2
5546,2011-04-21,19:00,Śląsk Wrocław,Wisła Kraków,2:0
5547,2011-04-23,13:45,Korona Kielce,Ruch Chorzów,0:1
5548,2011-04-23,15:45,Lechia Gdańsk,Legia Warszawa,2:1
5549,2011-04-23,16:00,Widzew Łódź,Polonia Bytom,3:1
5550,2011-04-23,18:15,Lech Poznań,GKS Bełchatów,0:0
5551,2011-04-23,18:15,Polonia Warszawa,Arka Gdynia,4:0
5552,2011-04-29,19:00,Legia Warszawa,Widzew Łódź,1:0
5553,2011-04-29,19:30,Zagłębie Lubin,Lech Poznań,1:0
5554,2011-04-30,13:45,GKS Bełchatów,Korona Kielce,1:0
5555,2011-04-30,15:15,Wisła Kraków,Górnik Zabrze,0:2
5556,2011-04-30,16:00,Polonia Bytom,Jagiellonia Białystok,3:2
5557,2011-04-30,18:15,Polonia Warszawa,Śląsk Wrocław,0:1
5558,2011-05-01,14:15,Ruch Chorzów,KS Cracovia,1:0
5559,2011-05-01,16:30,Arka Gdynia,Lechia Gdańsk,2:2
5560,2011-05-06,16:45,Ruch Chorzów,Zagłębie Lubin,2:2
5561,2011-05-06,19:00,Legia Warszawa,Korona Kielce,3:1
5562,2011-05-07,13:45,KS Cracovia,Polonia Warszawa,3:1
5563,2011-05-07,16:00,Śląsk Wrocław,Polonia Bytom,0:0
5564,2011-05-07,17:15,Lech Poznań,Górnik Zabrze,2:0
5565,2011-05-07,18:15,Jagiellonia Białystok,Widzew Łódź,1:3
5566,2011-05-08,13:45,Lechia Gdańsk,Wisła Kraków,0:3
5567,2011-05-08,16:15,GKS Bełchatów,Arka Gdynia,1:1
5568,2011-05-10,15:15,Polonia Bytom,KS Cracovia,1:2
5569,2011-05-10,17:30,Polonia Warszawa,Jagiellonia Białystok,2:0
5570,2011-05-10,19:45,Górnik Zabrze,Legia Warszawa,1:1
5571,2011-05-10,19:45,Zagłębie Lubin,Śląsk Wrocław,0:1
5572,2011-05-11,15:15,Arka Gdynia,Ruch Chorzów,0:2
5573,2011-05-11,17:30,Widzew Łódź,GKS Bełchatów,1:1
5574,2011-05-11,19:00,Wisła Kraków,Lech Poznań,1:0
5575,2011-05-11,19:45,Korona Kielce,Lechia Gdańsk,2:3
5576,2011-05-13,19:00,Jagiellonia Białystok,Legia Warszawa,0:0
5577,2011-05-13,19:00,Polonia Bytom,Górnik Zabrze,1:2
5578,2011-05-14,13:45,Korona Kielce,Arka Gdynia,1:0
5579,2011-05-14,16:00,Śląsk Wrocław,GKS Bełchatów,4:2
5580,2011-05-14,17:15,Lechia Gdańsk,Polonia Warszawa,0:0
5581,2011-05-14,18:15,Lech Poznań,Ruch Chorzów,1:0
5582,2011-05-15,13:45,Wisła Kraków,KS Cracovia,1:0
5583,2011-05-15,16:15,Widzew Łódź,Zagłębie Lubin,2:1
5584,2011-05-20,16:45,GKS Bełchatów,Zagłębie Lubin,0:2
