,data,godzina,dom,wyjazd,wynik
122,1991-10-26,,Zawisza Bydgoszcz,Górnik Zabrze,1:0
123,1991-10-26,,Ruch Chorzów,Lech Poznań,3:1
124,1991-10-26,,Stal Stalowa Wola,Zagłębie Lubin,2:1
125,1991-10-26,,Widzew Łódź,Wisła Kraków,3:2
126,1991-11-02,,Wisła Kraków,Śląsk Wrocław,0:1
127,1991-11-02,,Zagłębie Lubin,Widzew Łódź,0:1
128,1991-11-02,,Lech Poznań,Stal Stalowa Wola,3:0
129,1991-11-02,,Górnik Zabrze,Ruch Chorzów,4:2
130,1991-11-02,,Igloopol Debica,Zawisza Bydgoszcz,0:1
131,1991-11-02,,FKS Stal Mielec,Zagłębie Sosnowiec,1:1
132,1991-11-02,,GKS Katowice,Legia Warszawa,4:2
133,1991-11-02,,Motor Lublin,Olimpia Poznań,1:1
134,1991-11-02,,ŁKS Łódź,Hutnik Kraków,0:0
135,1991-11-16,,Śląsk Wrocław,Hutnik Kraków,3:2
136,1991-11-16,,Olimpia Poznań,ŁKS Łódź,2:0
137,1991-11-16,,Legia Warszawa,Motor Lublin,1:0
138,1991-11-16,,Zagłębie Sosnowiec,GKS Katowice,0:0
139,1991-11-16,,Zawisza Bydgoszcz,FKS Stal Mielec,2:0
140,1991-11-16,,Ruch Chorzów,Igloopol Debica,1:0
141,1991-11-16,,Stal Stalowa Wola,Górnik Zabrze,0:0
142,1991-11-16,,Widzew Łódź,Lech Poznań,2:2
143,1991-11-16,,Wisła Kraków,Zagłębie Lubin,2:1
144,1991-11-23,,Zagłębie Lubin,Śląsk Wrocław,2:1
145,1991-11-23,,Lech Poznań,Wisła Kraków,1:1
146,1991-11-23,,Górnik Zabrze,Widzew Łódź,1:0
147,1991-11-23,,Igloopol Debica,Stal Stalowa Wola,0:4
148,1991-11-23,,FKS Stal Mielec,Ruch Chorzów,0:0
149,1991-11-23,,GKS Katowice,Zawisza Bydgoszcz,1:0
150,1991-11-23,,Motor Lublin,Zagłębie Sosnowiec,1:1
151,1991-11-23,,ŁKS Łódź,Legia Warszawa,1:0
152,1991-11-23,,Hutnik Kraków,Olimpia Poznań,0:0
153,1992-03-14,,Śląsk Wrocław,Olimpia Poznań,1:0
154,1992-03-14,,Hutnik Kraków,Legia Warszawa,1:2
155,1992-03-14,,ŁKS Łódź,Zagłębie Sosnowiec,0:0
156,1992-03-14,,Motor Lublin,Zawisza Bydgoszcz,0:0
157,1992-03-14,,GKS Katowice,Ruch Chorzów,1:1
158,1992-03-14,,FKS Stal Mielec,Stal Stalowa Wola,3:0
159,1992-03-14,,Igloopol Debica,Widzew Łódź,1:2
160,1992-03-14,,Górnik Zabrze,Wisła Kraków,1:0
161,1992-03-14,,Lech Poznań,Zagłębie Lubin,1:0
162,1992-03-28,,Lech Poznań,Śląsk Wrocław,2:1
163,1992-03-28,,Zagłębie Lubin,Górnik Zabrze,1:2
164,1992-03-28,,Wisła Kraków,Igloopol Debica,0:0
165,1992-03-28,,Widzew Łódź,FKS Stal Mielec,2:1
166,1992-03-28,,Stal Stalowa Wola,GKS Katowice,1:0
167,1992-03-28,,Ruch Chorzów,Motor Lublin,5:0
168,1992-03-28,,Zawisza Bydgoszcz,ŁKS Łódź,1:1
169,1992-03-28,,Zagłębie Sosnowiec,Hutnik Kraków,2:2
170,1992-03-28,,Legia Warszawa,Olimpia Poznań,1:0
171,1992-04-04,,Śląsk Wrocław,Legia Warszawa,0:1
172,1992-04-04,,Olimpia Poznań,Zagłębie Sosnowiec,3:2
173,1992-04-04,,Hutnik Kraków,Zawisza Bydgoszcz,2:1
174,1992-04-04,,ŁKS Łódź,Ruch Chorzów,2:1
